service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_123928,0,0,0,0,0,1,1,20260501,20260717
2_123939,0,0,0,0,0,1,1,20260501,20991231
2_123940,0,0,0,0,0,1,1,20260501,20991231
2_123941,0,0,0,0,0,1,1,20260501,20991231
2_123942,0,0,0,0,0,1,1,20260501,20991231
2_123943,0,0,0,0,0,1,1,20260501,20991231
2_123944,0,0,0,0,0,1,1,20260501,20991231
2_123967,1,1,1,1,1,0,0,20260501,20260716
2_123968,1,1,1,1,1,0,0,20260501,20260716
2_123969,1,1,1,1,1,0,0,20260501,20260716
2_123970,1,1,1,1,1,0,0,20260501,20260716
2_123971,1,1,1,1,1,0,0,20260501,20260716
2_123972,1,1,1,1,1,0,0,20260501,20260716
2_123989,1,1,1,1,1,0,0,20260504,20991231
2_123990,1,1,1,1,1,0,0,20260504,20991231
2_123991,1,1,1,1,1,0,0,20260504,20991231
2_123992,1,1,1,1,1,0,0,20260504,20991231
2_123993,1,1,1,1,1,0,0,20260504,20991231
2_123994,1,1,1,1,1,0,0,20260504,20991231
2_123995,1,1,1,1,1,0,0,20260504,20991231
2_123996,1,1,1,1,1,0,0,20260504,20991231
2_123997,1,1,1,1,1,0,0,20260504,20991231
2_123998,1,1,1,1,1,0,0,20260506,20991231
2_123999,1,1,1,1,1,0,0,20260506,20991231
2_124000,1,1,1,1,1,0,0,20260506,20991231
2_124001,1,1,1,1,1,0,0,20260506,20991231
2_124002,1,1,1,1,1,0,0,20260506,20991231
2_124003,1,1,1,1,1,0,0,20260506,20991231
2_124004,1,1,1,1,1,0,0,20260506,20991231
2_124009,1,1,1,1,1,0,0,20260513,20991231
2_124010,1,1,1,1,1,0,0,20260513,20991231
2_124011,1,1,1,1,1,0,0,20260513,20991231
2_124012,1,1,1,1,1,0,0,20260513,20991231
2_124013,1,1,1,1,1,0,0,20260513,20991231
2_124014,1,1,1,1,1,0,0,20260513,20991231
2_124015,1,1,1,1,1,0,0,20260513,20991231
2_124016,1,1,1,1,1,0,0,20260513,20991231
2_124017,1,1,1,1,1,0,0,20260513,20991231
